Country,Region,education_expenditure(%GDP),education_categorie,power_generation(kW),generation_categorie,Btu/person_consumption($),consumption_categorie,financial_assets_value($),financial_categorie
GERMANY,EUROPE,4.7,medium,275658000,very_high,120457000,very_high,322700000000,very_high
"KOREA, SOUTH",EAST AND SOUTHEAST ASIA,4.7,medium,151139000,very_high,234668000,very_high,420930000000,very_high
URUGUAY,SOUTH AMERICA,4.6,medium,5682000,medium,45755000,medium,16257000000,high
DOMINICAN REPUBLIC,CENTRAL AMERICA AND THE CARIBBEAN,4.6,medium,6581000,medium,39329000,medium,15547000000,high
SLOVAKIA,EUROPE,4.6,medium,8138000,high,127582000,very_high,11288000000,medium
SPAIN,EUROPE,4.6,medium,130366000,very_high,101120000,high,103089000000,very_high
NICARAGUA,CENTRAL AMERICA AND THE CARIBBEAN,4.6,medium,1849000,low,10660000,low,5447000000,medium
KAZAKHSTAN,CENTRAL ASIA,4.5,medium,27624000,high,172936000,very_high,35965000000,high
GUYANA,SOUTH AMERICA,4.5,medium,259000,very_low,46045000,medium,895275000,low
INDIA,SOUTH ASIA,4.5,medium,499136000,very_high,25179000,low,627793000000,very_high
ETHIOPIA,AFRICA,4.5,medium,5690000,medium,2366000,very_low,3046000000,low
"CONGO, REPUBLIC OF THE",AFRICA,4.5,medium,842000,low,7351000,very_low,715391000,very_low
GREECE,EUROPE,4.4,medium,24169000,high,92693000,high,13608000000,medium
BRUNEI,EAST AND SOUTHEAST ASIA,4.4,medium,904000,low,403365000,very_high,4483000000,medium
MALI,AFRICA,4.4,medium,1222000,low,4307000,very_low,647800000,very_low
ITALY,EUROPE,4.3,medium,128692000,very_high,96797000,high,247396000000,very_high
MEXICO,NORTH AMERICA,4.3,medium,105586000,very_high,57539000,medium,214317000000,very_high
AZERBAIJAN,CENTRAL ASIA,4.3,medium,8383000,high,66467000,high,13749000000,high
TIMOR_LESTE,EAST AND SOUTHEAST ASIA,4.2,medium,277000,very_low,6825000,very_low,781995000,very_low
NEPAL,SOUTH ASIA,4.2,medium,2853000,medium,6604000,very_low,12456000000,medium
EL SALVADOR,CENTRAL AMERICA AND THE CARIBBEAN,4.1,medium,2803000,medium,24421000,low,3426000000,low
VIETNAM,EAST AND SOUTHEAST ASIA,4.1,medium,85725000,very_high,40263000,medium,92238000000,very_high
PERU,SOUTH AMERICA,4.0,medium,16164000,high,30923000,medium,71394000000,very_high
HONG KONG,EAST AND SOUTHEAST ASIA,4.0,medium,13300000,high,116811000,very_high,425554000000,very_high
LITHUANIA,EUROPE,4.0,medium,5426000,medium,83700000,high,6168000000,medium
BULGARIA,EUROPE,4.0,medium,12939000,high,102171000,high,46334000000,high
TOGO,AFRICA,4.0,medium,326000,very_low,4538000,very_low,77800000,very_low
PANAMA,CENTRAL AMERICA AND THE CARIBBEAN,3.9,low,4485000,medium,78010000,high,6757000000,medium
GHANA,AFRICA,3.9,low,5519000,medium,10493000,low,3624000000,low
UNITED ARAB EMIRATES,MIDDLE EAST,3.9,low,44462000,very_high,450432000,very_high,189491000000,very_high
ZIMBABWE,AFRICA,3.9,low,2491000,medium,10855000,low,115530000,very_low
MALAYSIA,EAST AND SOUTHEAST ASIA,3.9,low,37220000,very_high,113163000,high,113463000000,very_high
NIGER,AFRICA,3.8,low,377000,low,1772000,very_low,1314000000,low
ANTIGUA AND BARBUDA,CENTRAL AMERICA AND THE CARIBBEAN,3.8,low,148000,very_low,110114000,high,364367000,very_low
